well,condition,sample_type,concentration,replicate
N11,Buffer,blank,,2
O1,Buffer,titration,500,3
O2,Buffer,titration,250,3
O3,Buffer,titration,125,3
O4,Buffer,titration,62.5,3
O5,Buffer,titration,31.25,3
O6,Buffer,titration,15.625,3
O7,Buffer,titration,7.8125,3
O8,Buffer,titration,3.90625,3
O9,Buffer,substrate,,3
O10,Buffer,fluorophore,,3
O11,Buffer,blank,,3
