User: BMG_USER,Path: C:\Users\shared\BMG_USER_WORK_DIR\Data,Test run no.: 2794
Test name: dCas9_sg_plate384,Date: 04.05.2024,Time: 20:02:52

Fluorescence polarization (FP)

Cycle 10 (57 min 27 s)
1. Raw Data (parallel)

D,5530,5527,5846,5597,5198,5278,5059,4916,4318,24101,440,,,,,,,,,,,,,
E,5547,5718,5385,5685,5351,5345,5142,5145,5042,24316,449,,,,,,,,,,,,,
F,5468,5868,5813,5734,5023,5321,5086,5014,4850,23928,448,,,,,,,,,,,,,
G,4500,4509,4732,4472,4688,4685,4691,4811,4898,24094,453,,,,,,,,,,,,,
H,4444,4510,4456,4641,4601,4693,4686,4777,4881,23855,448,,,,,,,,,,,,,
I,4031,4442,4165,4212,3900,4582,4297,4745,4729,24124,424,,,,,,,,,,,,,
J,5364,5371,5316,5455,5230,5189,5062,5045,5084,23874,460,,,,,,,,,,,,,
K,5470,5332,5412,5514,5217,5086,5155,5041,5089,24167,456,,,,,,,,,,,,,
L,4963,5172,5557,5444,5032,5048,4930,4896,5102,23390,427,,,,,,,,,,,,,
M,5002,5748,5664,5714,5512,5559,5498,5287,5444,23423,442,,,,,,,,,,,,,
N,5646,5845,5574,5546,5275,5446,5167,5274,5194,23625,420,,,,,,,,,,,,,
O,4767,5715,5512,5453,5167,5323,5129,4922,4986,22735,456,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

Cycle 8 (44 min 41 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,5184,5071,5651,4931,4806,4726,4521,4720,4854,23402,1063,,,,,,,,,,,,,
B,5166,5232,5070,5411,5201,4992,4929,4788,5108,24680,1085,,,,,,,,,,,,,
C,5063,4742,5517,5534,5109,4955,4822,4885,5065,24884,1095,,,,,,,,,,,,,
D,7280,7380,7759,7472,7099,7220,7002,6838,5881,26310,1071,,,,,,,,,,,,,
E,7351,7405,7226,7564,7341,7186,7162,6872,6862,25964,1053,,,,,,,,,,,,,
F,7118,7884,7674,7620,6759,7044,6841,6728,6544,25057,1054,,,,,,,,,,,,,
G,7272,7496,7564,6865,7198,6791,6504,6639,6781,25661,1122,,,,,,,,,,,,,
H,7348,7185,7089,7303,6807,6674,6669,6402,6539,25332,1136,,,,,,,,,,,,,
I,6661,7603,6707,6514,5797,6421,6089,6651,6531,25830,1078,,,,,,,,,,,,,
J,7168,7288,7316,7467,7179,7132,6895,6887,7014,25738,1124,,,,,,,,,,,,,
K,7371,7317,7510,7583,7098,6914,7068,6948,7085,25824,1098,,,,,,,,,,,,,
L,6690,7171,7787,7439,7209,7051,7004,6914,7086,25408,1054,,,,,,,,,,,,,
M,6629,7799,7703,7636,7646,7674,7265,7345,7151,24936,1060,,,,,,,,,,,,,
N,7670,8027,7599,7396,7162,7679,7044,7362,7252,25828,1135,,,,,,,,,,,,,
O,6284,7887,7444,7465,7170,7273,7132,7003,7068,24135,1115,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

2. Raw Data (perpendicular)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,3954,3866,4196,3637,3459,3502,3397,3429,3511,22136,460,,,,,,,,,,,,,
B,3921,3971,3825,3872,3718,3611,3600,3551,3570,23350,438,,,,,,,,,,,,,
C,3729,3584,4098,4181,3766,3586,3483,3608,3643,23479,431,,,,,,,,,,,,,
D,5518,5617,5830,5529,5212,5251,5088,4951,4332,24391,453,,,,,,,,,,,,,
E,5637,5607,5436,5694,5437,5458,5141,5067,5057,24340,456,,,,,,,,,,,,,
F,5336,5915,5828,5653,5028,5344,5112,5085,4802,23939,429,,,,,,,,,,,,,
G,4433,4483,4656,4543,4775,4713,4651,4674,4948,24176,444,,,,,,,,,,,,,
H,4547,4380,4508,4621,4535,4671,4828,4591,4856,23716,466,,,,,,,,,,,,,
I,4046,4450,4190,4196,3998,4564,4345,4786,4868,23938,432,,,,,,,,,,,,,
J,5414,5397,5308,5438,5330,5181,5094,5009,5071,24054,441,,,,,,,,,,,,,
K,5436,5323,5569,5513,5327,5113,5209,5095,5065,24043,427,,,,,,,,,,,,,
L,5071,5234,5542,5415,5089,5131,5148,4900,4988,23723,441,,,,,,,,,,,,,
M,5014,5756,5619,5683,5482,5596,5456,5335,5367,23527,450,,,,,,,,,,,,,
N,5672,5940,5623,5544,5196,5478,5170,5279,5312,23780,454,,,,,,,,,,,,,
O,4782,5737,5495,5523,5305,5332,5225,5011,5150,22904,430,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

Cycle 7 (38 min 18 s)
1. Raw Data (parallel)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,5294,5100,5646,4887,4953,4823,4489,4883,4703,23075,1057,,,,,,,,,,,,,
B,5193,5297,5192,5181,5076,4913,4910,4874,5022,24764,1148,,,,,,,,,,,,,
C,4889,4849,5545,5645,5168,4963,4788,4916,5032,24763,1090,,,,,,,,,,,,,
D,7362,7378,7826,7501,7229,7055,7119,6808,5856,26152,1068,,,,,,,,,,,,,
E,7522,7547,7249,7627,7301,7170,6958,6832,7011,25635,1115,,,,,,,,,,,,,
F,6968,7810,7745,7589,6891,7194,6970,6865,6562,25273,1157,,,,,,,,,,,,,
G,7348,7471,7671,7027,7129,6673,6492,6469,6778,25549,1145,,,,,,,,,,,,,
H,7417,7285,7229,7393,6923,6782,6582,6506,6680,25446,1172,,,,,,,,,,,,,
I,6721,7386,6868,6576,5813,6629,6157,6619,6533,25992,1235,,,,,,,,,,,,,
J,7184,7402,7262,7508,7219,7190,7005,7062,7074,25845,1135,,,,,,,,,,,,,
K,7222,7447,7438,7682,7410,7021,7106,6982,7137,25918,1103,,,,,,,,,,,,,
L,6679,7330,7611,7547,7152,6994,7167,6998,7125,25650,1128,,,,,,,,,,,,,
M,6798,7639,7802,7694,7560,7739,7499,7419,7468,25563,1103,,,,,,,,,,,,,
N,7696,7994,7536,7537,7248,7605,7101,7430,7220,25895,1043,,,,,,,,,,,,,
O,6398,7659,7377,7367,7115,7461,7112,6712,7084,24603,1067,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,

2. Raw Data (perpendicular)

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,3873,3764,4124,3620,3631,3540,3282,3531,3501,21893,443,,,,,,,,,,,,,
B,3904,3849,3885,3867,3678,3566,3654,3583,3633,23197,468,,,,,,,,,,,,,
C,3723,3511,4091,4116,3833,3615,3484,3546,3714,23507,443,,,,,,,,,,,,,
D,5654,5578,5855,5525,5241,5244,5165,4948,4333,24425,453,,,,,,,,,,,,,
E,5680,5703,5467,5679,5403,5368,5128,5151,4959,24499,437,,,,,,,,,,,,,
F,5401,5928,5798,5656,5047,5299,5192,4884,4823,23895,480,,,,,,,,,,,,,
G,4572,4594,4678,4450,4698,4740,4704,4788,5003,24346,447,,,,,,,,,,,,,
H,4495,4434,4521,4598,4604,4754,4851,4737,4794,23894,447,,,,,,,,,,,,,
I,4077,4527,4199,4204,3971,4638,4391,4859,4800,24107,456,,,,,,,,,,,,,
